"tmdb_id","description","tmdb_url","cover_url","vote_average","vote_count","release_date","original_language","popularity"
"2","Salla, petite ville minière de la Laponie. Taisto Kasurinen, mineur, hérite d’une « belle américaine » après le suicide de son propriétaire. Il retire toute ses économies de la banque et part à Helsinki. La capitale l’accueille froidement : il se fait voler son argent et se retrouve en prison. Cependant il a eu le temps de rencontrer Irmeli, jeune femme débordée, et son petit garçon.","https://www.themoviedb.org/movie/2","https://image.tmdb.org/t/p/w500/4HTJHLPLvhDG4D0m8IcUMh7i9h4.jpg","7.11","350","1988-10-21","fi","2.5644"
"5","Le groom d'un hôtel de luxe présente quatre histoires, se passant dans quatre chambres différentes. The missing ingredient : des sorcières tentent d'invoquer l'esprit de la déesse Diana. The wrong man : un homme armé séquestre sa femme. The misbehavers : un gangster, sa femme et ses deux enfants logent dans une chambre. The man from Hollywood : un acteur arrogant a organisé une fête.","https://www.themoviedb.org/movie/5","https://image.tmdb.org/t/p/w500/7bVVy3fmB4FtyV0z47DGrX5hp3L.jpg","5.863","2695","1995-12-09","en","4.3441"
"11","Il y a bien longtemps, dans une galaxie très lointaine... La guerre civile fait rage entre l'Empire galactique et l'Alliance rebelle. Capturée par les troupes de choc de l'Empereur menées par le sombre et impitoyable Dark Vador, la princesse Leia Organa dissimule les plans de l’Étoile Noire, une station spatiale invulnérable, à son droïde R2-D2 avec pour mission de les remettre au Jedi Obi-Wan Kenobi. Accompagné de son fidèle compagnon, le droïde de protocole C-3PO, R2-D2 s'échoue sur la planète Tatooine et termine sa quête chez le jeune Luke Skywalker. Rêvant de devenir pilote mais confiné aux travaux de la ferme, ce dernier se lance à la recherche de ce mystérieux Obi-Wan Kenobi, devenu ermite au cœur des montagnes désertiques de Tatooine...","https://www.themoviedb.org/movie/11","https://image.tmdb.org/t/p/w500/qelTNHrBSYjPvwdzsDBPVsqnNzc.jpg","8.204","21181","1977-05-25","en","26.0102"
"12","Nemo, un jeune poisson-clown intrépide est capturé puis plongé dans l'aquarium d'un cabinet dentaire. Marin, son père, et Dory, un poisson-chirurgien bleu sympathique mais tête-en-l'air, entament un long périple pour le retrouver. Ils croiseront en chemin une éclectique faune tropicale plus ou moins bien intentionnée. Sauront-ils retrouver la piste de Nemo ?","https://www.themoviedb.org/movie/12","https://image.tmdb.org/t/p/w500/8zR2vXoXfdlknEYjfHvCbb1rJbI.jpg","7.8","19678","2003-05-30","en","17.3676"
"13","À Savannah, État de Géorgie, Forrest Gump, assis sur un banc public, livre à qui veut l’entendre, l’étrange récit de sa vie mouvementée sur trois décennies. Il naît dans un bourg de l’Alabama, affecté d’un quotient intellectuel inférieur à la moyenne et d’une paralysie partielle des jambes. Souvent raillé à l’école, le jeune Forrest se lie d’amitié avec Jenny. Propulsé de l'état d'handicapé physique à celui de vedette du football, de héros du Vietnam au roi de la crevette, des honneurs de la Maison Blanche au bonheur d'une histoire d'amour, Forrest est le symbole d'une époque, un candide dans une Amérique qui a perdu son innocence.","https://www.themoviedb.org/movie/13","https://image.tmdb.org/t/p/w500/A0Th0x8QIzP0njrFAJnYQ5ouIoB.jpg","8.468","28252","1994-06-23","en","23.0555"
"14","Alors qu'il éprouve des difficultés à supporter une femme irascible, un travail ingrat et une ado morose, un homme tombe raide dingue d'une des amies de sa fille.","https://www.themoviedb.org/movie/14","https://image.tmdb.org/t/p/w500/jLkxPf0IPJZ3EBVG27oUTZfYavL.jpg","8.007","12370","1999-09-15","en","9.1797"
"15","À la mort du milliardaire Charles Foster Kane, un grand magnat de la presse, Thompson, un reporter, enquête sur sa vie. Les contacts qu'il prend avec ses proches lui font découvrir un personnage gigantesque, mégalomane, égoïste et solitaire.","https://www.themoviedb.org/movie/15","https://image.tmdb.org/t/p/w500/89GnRTK1CjJSUelKKHLIPXsVam9.jpg","8","5678","1941-04-17","en","4.2477"
"16","Selma Jezkova, émigrée tchèque et mère célibataire, travaille dans une usine de l'Amérique profonde. Elle trouve son salut dans sa passion pour la musique, spécialement les chansons et les danses des grandes comédies musicales hollywoodiennes. Selma garde un lourd secret : elle perd la vue et son fils Gene connaîtra le même sort sauf si elle réussit à mettre assez d'argent de côté pour lui payer une opération. Quand un voisin aux abois accuse à tort Selma d'avoir volé ses économies, le drame de sa vie s'intensifie pour se terminer en final tragique.
 Palme d'Or 2000","https://www.themoviedb.org/movie/16","https://image.tmdb.org/t/p/w500/qMvoVSSnMFggnzS3i8xZqQBEm7Q.jpg","7.867","1856","2000-09-01","en","3.0178"
"18","New York, XXIIIe siècle. Une boule de feu fonce sur la Terre. Pour l'arrêter il faut retrouver le Cinquième Élément, l'être suprême, qui, associé aux quatre éléments vitaux - l'air, l'eau, le feu et la terre - peut seul repousser Le Mal. Cornélius reçoit l'aide de Korben, taxi et ancien agent secret, et de Leeloo, extraterrestre qui a pris la forme d'une jeune femme aux cheveux oranges.","https://www.themoviedb.org/movie/18","https://image.tmdb.org/t/p/w500/wNTpXK17ctcrERI6Ts45ZoTT7RY.jpg","7.555","11044","1997-05-02","fr","13.6641"
"19","En 2026, une métropole à l’architecture fantastique vit sous le joug d’un groupe de tyrans. Les aristocrates se prélassent et se divertissent dans de somptueuses demeures et de luxuriants jardins, tandis que la grande masse de la population travaille, dort et survit durement dans les profondeurs de la terre. Le fils du maître de la ville découvre avec effarement l’existence du monde souterrain, où se rencontrent en secret les ouvriers, peu enclins à supporter pour toujours leur situation. Pendant ce temps, un savant invente une femme‐robot qui doit détourner les opprimés de leur révolte…","https://www.themoviedb.org/movie/19","https://image.tmdb.org/t/p/w500/vHDWZOpupmKB7iNuiWFqnUSjfmN.jpg","8.105","2868","1927-02-06","de","17.3578"
